"Item","Description","Quantity","Cost","BranchCost","Price"
"CPU COOLER:PC COOLER E126MR","PC COOLER E126MR 92W CPU COOLER | RED | 15 DAYS WARRANTY | 3 DAYS OUTRIGHT REPLACEMENT",0,253.00,253,379.50
"FLASH DRIVE:16GB SANDISK OTG TRANSPARENT","SANDISK SDDD3-016G-G46 OTG 16GB TRANSPARENT",5,242.00,266.2,363.00
"FLASH DRIVE:32GB SANDISK OTG WHITE","SANDISK SDDD2-032G-GAM46W/USB 3.0 OTG 32GB WHITE",5,311.00,342.1,450.95
"GAMING CHAIR:AEROCOOL THUNDERX3 BC5","AEROCOOL THUNDERX3 BC5",0,8284.00,8863.88,9526.60
"GAMING CHAIR:DAWN BLACK PINK","DAWN BLACK PINK GAMING CHAIR",0,6140.00,6631.2,7122.40
"GAMING CHAIR:NIGHTFALL PINK WHITE","NIGHTFALL PINK WHITE GAMING CHAIR",0,3340.00,3674,4008.00
"GAMING CHAIR:NOVUS CGW-100RD","NOVUS CGW-100RD COLOR RED/ BLACK GAMING CHAIR | 1 WEEK WARRANTY ON PARTS ONLY",0,3283.00,3611.3,4103.75
"GAMING CHAIR:NOVUS CGW-501RD W/  FOOTREST","NOVUS CGW-501RD COLOR RED/ BLACK WITH FOOTREST 90-135 DEGREE RECLINING GAMING CHAIR | 1 WEEK WAR...",0,4620.00,4989.6,5451.60
"GAMING TABLE:INPLAY T1 RGB GAMING TABLE","INPLAY T1 RGB GAMING TABLE | BLACK |126 x 66 x 60 CM |1 MONTH WARRANTY | 1 WEEK OUTRIGHT REPLACE...",2,3815.00,4196.5,4578.00
"GAMING TABLE:VIKINGS YGGDRASIL YELLOW","VIKINGS YGGDRASIL YELLOW GAMING TABLE SIZE 136X60X74 CM DOUBLE - SIDED CARBON FIBER / 15 DAYS WA...",0,5500.00,5940,6380.00
"GAMING TABLE:Z-A COMPUTER TABLE","INTELLEGENT Z-A TABL Z-A COMPUTER TABLE WITH LIGHT/ 73CM*60CM*140CM",0,5096.00,5503.68,5911.36
"GRAPHICS CARD:ASUS GTX1050 TI 4GB PHOENIX","ASUS PH GTX 1050Ti PHOENIX 4GB DDR5 128 BIT | SINGLE FAN | AUTO EXTREME | 1 YEAR WARRANTY | 1 WE...",0,7367.00,7956.36,8545.72
"GRAPHICS CARD:ASUS RTX 2060 EVO OC DUAL","ASUS RTX 2060 EVO OC DUAL I 6GB GDDR6  ITWEAK II I ANSEL",0,27611.00,30372.10,30372.10
"GRAPHICS CARD:ASUS RX5500 XT 8GB ROG STRIX","ASUS ROG STRIX RX5500XT 8GB GAMING/DUAL FAN/GDDR6 128BIT/ AURASYNC | 1 YEAR WARRANTY 1 WEEK..OUT...",1,12439.00,13185.34,18658.50
"GRAPHICS CARD:ASUS RX5600 XT 6GB ROG STRIX","5600XT-T6-GAMING GDDR6 192BIT / TRIPPLE FAN/ AURA SYNC/ RGB | 1 YEAR WARRANTY 1 WEEK OUTRIGHT RE...",0,17544.00,18421.2,20175.60
"GRAPHICS CARD:BIOSTAR RX570 8GB GAMING","BIOSTAR RX570 8GB GAMING",0,12059.00,12782.54,13747.26
"GRAPHICS CARD:COLORFUL GT710 2GB","2GB COLORFUL GT710 VGA  | 1 YEAR WARRANTY",1,2500.00,2750,3250.00
"GRAPHICS CARD:GIGABYTE GF210 1GB","1GB GIGABYTE GF210 DDR3 64 BIT",1,2350.00,2585,3055.00
"GRAPHICS CARD:GIGABYTE RX580 8GB","GIGABYTE RX580 GAMING (REV 2.0) 8GB AMD RADEON DDR5 256 BIT HDMI-DP",0,10850.00,11609.5,12369.00
"GRAPHICS CARD:INNO3D GTX1050 TI 4GB TWIN","INNO3D GTX1050TI 4 GB 128 BIT TWIN X2/ 1 YEAR WARRANTY | 1 WEEK OUTRIGHT REPLACEMENT",0,5828.00,6294.24,6760.48
"GRAPHICS CARD:MSI GTX1050 TI 4GB","MSI GEFORCE GTX 1050 Ti 4GT 4GB OCV1 GDDR5 128-BIT DISPLAY PORT / HDMI / DL-DVI-D",0,8112.00,8679.84,9328.80
"GRAPHICS CARD:MSI GTX1660 TI 6GB AERO ITX","MSI GEFORCE� GTX 1660 Ti AERO ITX 6G OC 192 BIT VIDEO CARD | 2 YEARS WARRANTY | 1 WEEK OUTRIGHT ...",0,14739.00,15623.34,17244.63
"GRAPHICS CARD:MSI RX570 8GB","MSI RADEON RX570 8GB OC",0,9000.00,9450,10350.00
